CLPP	0000786, 0001250, 0004322, 0000007, 0000407, 0000252, 0000013, 0000815, 0008527, 
A2M	0000006, 
MKKS	0000256, 0000512, 0003202, 0000003, 0001156, 0000518, 0001159, 0000007, 0000135, 0000137, 0001162, 0001163, 0000143, 0006159, 0000145, 0002705, 0000148, 0008724, 0007707, 0000028, 0000668, 0008734, 0004383, 0008736, 0000545, 0000546, 0001829, 0000678, 0001830, 0000807, 0002089, 0003241, 0100779, 0000426, 0004397, 0000047, 0000175, 0001328, 0001712, 0008368, 0001586, 0002099, 0000819, 0000054, 0000822, 0002230, 0001080, 0030010, 0002370, 0012227, 0000580, 0000072, 0000969, 0010442, 0002251, 0000077, 0009806, 0006101, 0000470, 0030680, 0000218, 0002141, 0001629, 0001374, 0001631, 0001249, 0004322, 0000483, 0001251, 0001508, 0001636, 0000100, 0000486, 0008678, 0002023, 0001513, 0001769, 0000107, 0001643, 0000365, 0001773, 0000750, 0000494, 0001263, 0001007, 0000368, 0000113, 0001395, 0010741, 0000501, 0002167, 0009466, 0010747, 0000126, 0000510, 0000639, 
GDF5	0001792, 0006144, 0004097, 0002818, 0000006, 0000007, 0010760, 0002827, 0010508, 0003086, 0010259, 0009495, 0003097, 0005914, 0001822, 0100387, 0001831, 0009514, 0010026, 0005930, 0009516, 0009773, 0010034, 0009778, 0009523, 0010038, 0009527, 0005692, 0006206, 0009534, 0009536, 0010049, 0010055, 0009803, 0010579, 0004691, 0006228, 0006487, 0002650, 0001371, 0002652, 0006492, 0009568, 0001376, 0006498, 0009575, 0005736, 0001385, 0001387, 0009324, 0004209, 0009331, 0009587, 0002167, 0006011, 0004220, 0010109, 0006014, 0010624, 0009601, 0001156, 0002948, 0009349, 0009606, 0001162, 0100490, 0008843, 0009356, 0008081, 0100242, 0001172, 0011927, 0000407, 0011929, 0009372, 0000668, 0009373, 0008096, 0005792, 0002983, 0002984, 0100264, 0008873, 0002986, 0001964, 0000684, 0002990, 0007598, 0008368, 0002992, 0001204, 0002997, 0008119, 0002999, 0005048, 0008890, 0000954, 0005819, 0000445, 0002750, 0100543, 0000446, 0003272, 0008905, 0009417, 0009161, 0010442, 0006092, 0003022, 0001230, 0001231, 0010194, 0003028, 0009684, 0006101, 0009177, 0009436, 0003038, 0009182, 0006110, 0003041, 0004322, 0001762, 0003042, 0001763, 0009700, 0009702, 0000486, 0005096, 0001772, 0001773, 0009456, 0001522, 0003826, 0009204, 0009461, 0010743, 0009463, 0009464, 0005880, 0009465, 0003067, 0009467, 0003070, 0006143, 
TSR2	0004322, 0001155, 0008551, 0000457, 0001419, 0000494, 0000078, 0000175, 0000079, 0000179, 0001972, 0000980, 0000405, 0000823, 0011800, 0002488, 0012378, 0000347, 0011675, 0002076, 0003196, 
AARS	0003202, 0000643, 0009027, 0001284, 0200134, 0000006, 0000007, 0001290, 0002059, 0002827, 0003477, 0000407, 0002072, 0002460, 0001761, 0004322, 0001508, 0003429, 0001765, 0009830, 0001511, 0003431, 0001257, 0001263, 0003828, 0002936, 0003577, 0000252, 0000639, 
ABAT	0000098, 0001250, 0001347, 0001254, 0000007, 0001321, 0003819, 0006829, 0000494, 0002415, 0001263, 0025430, 0000278, 0001274, 0007291, 
ABCA1	0002240, 0003457, 0100546, 0003396, 0001349, 0000006, 0000007, 0003146, 0010829, 0007759, 0004943, 0000656, 0001744, 0001873, 0008404, 0003477, 0007957, 0004374, 0011096, 0001433, 0005145, 0002460, 0002716, 0007133, 0030814, 0000991, 0007328, 0003233, 0002730, 0002027, 0002155, 0003693, 0000622, 0001903, 0001712, 0001392, 0001265, 0002164, 0006901, 0000505, 0001658, 0000958, 
ABCA3	0001425, 0002098, 0001508, 0002789, 0006517, 0005942, 0000007, 0002104, 0003577, 0002878, 
ABCB7	0002080, 0001347, 0001251, 0001924, 0001252, 0003621, 0002470, 0000486, 0001511, 0004840, 0001419, 0001260, 0001263, 0001903, 0001939, 0100022, 0002167, 0002169, 0002650, 0002075, 0001310, 0003487, 0000639, 
DGCR6	0001537, 0000194, 0001155, 0002627, 0000581, 0000006, 0000201, 0001611, 0000718, 0000720, 0006549, 0002901, 0000598, 0000278, 0000023, 0000220, 0001629, 0000414, 0002719, 0011999, 0001249, 0004322, 0001252, 0001636, 0012841, 0000430, 0000175, 0001328, 0000818, 0000627, 0005435, 0000252, 
AMER1	0000256, 0009473, 0001539, 0000003, 0002566, 0000518, 0001290, 0002315, 0000270, 0001555, 0000278, 0001561, 0001562, 0000286, 0010529, 0001328, 0002357, 0002104, 0001338, 0000316, 0005950, 0100670, 0001611, 0002381, 0012368, 0000341, 0005464, 0005465, 0002650, 0000347, 0001629, 0005469, 0001631, 0012385, 0000358, 0008551, 0008808, 0001643, 0000369, 0004209, 0008818, 0001650, 0000885, 0002684, 0006784, 0010628, 0002694, 0000396, 0001166, 0001423, 0001680, 0002705, 0000405, 0000678, 0000684, 0002990, 0000431, 0000175, 0000944, 0000176, 0000689, 0000179, 0003510, 0000695, 0006587, 0000193, 0001476, 0005830, 0000201, 0000204, 0000465, 0006610, 0002514, 0011220, 0002007, 0000218, 0002779, 0003038, 0001249, 0001250, 0001762, 0004322, 0003298, 0001508, 0002020, 0002023, 0001256, 0002025, 0003307, 0000238, 0000750, 0000239, 0001263, 0005619, 0010740, 0000248, 0011002, 0002300, 0000767, 
ABCA4	0000512, 0007814, 0000518, 0000007, 0000135, 0000648, 0000649, 0000405, 0000662, 0000407, 0007703, 0007704, 0000543, 0008736, 0007843, 0000035, 0030500, 0000548, 0000551, 0007722, 0000431, 0000563, 0007737, 0000572, 0008002, 0001347, 0000842, 0000463, 0000602, 0005978, 0000603, 0000987, 0000608, 0001249, 0000610, 0008035, 0000613, 0001513, 0000618, 0001133, 0000493, 0008046, 0007663, 0011504, 0000501, 0000505, 0030329, 0008059, 0007675, 0000510, 0000639, 
LZTR1	0000768, 0001156, 0000006, 0000391, 0001671, 0000520, 0001928, 0100625, 0001680, 0000407, 0000535, 0011800, 0011675, 0000028, 0002974, 0002208, 0002212, 0008872, 0001324, 0000044, 0000179, 0007477, 0001718, 0005692, 0000316, 0002750, 0004415, 0002240, 0000325, 0010318, 0001743, 0000465, 0006610, 0000470, 0002650, 0000474, 0000218, 0000347, 0000476, 0000348, 0011869, 0011362, 0004322, 0000995, 0001252, 0001892, 0000486, 0001641, 0001642, 0001260, 0001004, 0000494, 0000368, 0004209, 0002162, 0011381, 0000508, 0000766, 0000639, 0000767, 
ABL1	0001744, 0001873, 0001974, 0001894, 0001912, 0001945, 0012378, 0005547, 0004396, 
ESS2	0001537, 0000194, 0001155, 0002627, 0000581, 0000006, 0000201, 0001611, 0000718, 0000720, 0006549, 0002901, 0000598, 0000278, 0000023, 0000220, 0001629, 0000414, 0002719, 0011999, 0001249, 0004322, 0001252, 0001636, 0012841, 0000430, 0000175, 0001328, 0000818, 0000627, 0005435, 0000252, 
ACACA	0001510, 0000007, 0001290, 0003198, 
ACADM	0002240, 0003234, 0001250, 0003108, 0002181, 0001254, 0000007, 0001290, 0001259, 0001263, 0001397, 0008309, 0001942, 0001943, 0002013, 0002910, 
AICDA	0002720, 0002721, 0200117, 0000007, 0004315, 0002716, 0002205, 0002718, 0004798, 0002959, 
ACADS	0000544, 0001250, 0001508, 0010628, 0002500, 0000709, 0001254, 0001638, 0000007, 0003623, 0008872, 0001290, 0000590, 0000750, 0004911, 0001263, 0003219, 0002650, 0001371, 0003198, 
ACADSB	0000577, 0001250, 0001254, 0000007, 0003593, 0001290, 0001263, 0003700, 0001270, 0001943, 0000252, 0002045, 0005949, 
APCDD1	0000006, 0002231, 0000535, 0000007, 0001596, 0000653, 0004782, 0001006, 
ACADVL	0003552, 0002240, 0003234, 0003236, 0002789, 0001958, 0001254, 0000007, 0001639, 0001290, 0001324, 0001645, 0003215, 0008305, 0001397, 0009045, 0003738, 0001404, 0002013, 
ACAT1	0001249, 0005974, 0000007, 0001944, 0002013, 
ACAT2	0003745, 0003542, 0002151, 0002072, 0001290, 0001263, 
DNAJC19	0001249, 0008897, 0001635, 0002470, 0001414, 0000007, 0001511, 0000648, 0001644, 0001324, 0001645, 0003150, 0000047, 0003344, 0012817, 0004856, 0001657, 0000028, 0008734, 
