,Gene/Region,"HGNC/Dosage ID",GRCh38,"HI Score","TS Score","Triplo Disease","Triplo Disease ID",OMIM,Morbid,%HI,pLI,LOEUF,"Last Eval."
R,"16p13.12 population region (gnomAD-SV_v2.1_DEL_16_152599)",ISCA-46484,16:14688342-14711143,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"1 copy: 14q telomere; 3 copies: 14q telomere",ISCA-37477,14:105583663-106881350,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,07/31/2014
R,"1 copy: 2q telomere|3 copies: 2q telomere",ISCA-37470,2:241988449-242157305,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,04/24/2014
R,"1 copy: 6p telomere | 3 copies: 6p telomere",ISCA-37471,6:259528-339802,"40 (Dosage Sensitivity Unlikely)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,06/20/2014
R,"10p12.1 population region (DGV_Gold_Standard_June_2021_gssvL11273)",ISCA-46638,10:27349327-27353251,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108282)",ISCA-46426,10:17826000-17838001,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108283)",ISCA-46427,10:17838000-17851801,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108288)",ISCA-46428,10:17828846-17841147,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10p12.33 population region (gnomAD-SV_v2.1_DEL_10_108289)",ISCA-46429,10:17837946-17846047,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10p13 population region (DGV_Gold_Standard_June_2021_gssvL10668)",ISCA-46637,10:13217247-13218742,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.2 recurrent region (LCR C-LCR D)",ISCA-37497,10:48181660-49845537,"1 (Little Evidence)","1 (Little Evidence)",'-,'-,,,‐,‐,‐,10/12/2022
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvG4512)",ISCA-46639,10:46160527-46226532,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12105)",ISCA-46640,10:47074765-47282602,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12112)",ISCA-46642,10:47502722-47586882,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109954)",ISCA-46430,10:45815201-45830352,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109958)",ISCA-46431,10:45843151-45879552,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109998)",ISCA-46432,10:46377769-46382770,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_109999)",ISCA-46433,10:46373069-46378170,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110000)",ISCA-46434,10:48009306-48019507,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110001)",ISCA-46435,10:48029382-48034483,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110016)",ISCA-46436,10:46377639-46383340,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110019)",ISCA-46437,10:50080601-50103402,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110021)",ISCA-46438,10:50111946-50119097,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110022)",ISCA-46439,10:50116898-50122299,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110031)",ISCA-46440,10:50205831-50224757,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110040)",ISCA-46441,10:46798971-46848972,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110043)",ISCA-46442,10:47499361-47507162,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110044)",ISCA-46443,10:47487361-47493362,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.22 population region (gnomAD-SV_v2.1_DEL_10_110072)",ISCA-46444,10:46933236-46939112,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (DGV_Gold_Standard_June_2021_gssvL12109)",ISCA-46641,10:50101946-50240976,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110193)",ISCA-46445,10:73668724-73680225,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110221)",ISCA-46446,10:50079939-50085340,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110222)",ISCA-46447,10:50085939-50091040,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110223)",ISCA-46448,10:50092089-50097640,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110224)",ISCA-46449,10:50098539-50104840,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110225)",ISCA-46450,10:50102239-50134890,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110229)",ISCA-46451,10:50207439-50214640,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q11.23 population region (gnomAD-SV_v2.1_DEL_10_110230)",ISCA-46452,10:50213439-50221540,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13247)",ISCA-46643,10:69521059-69531547,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13249)",ISCA-46644,10:69523150-69531336,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"10q22.3 population region (gnomAD-SV_v2.1_DEL_10_112166)",ISCA-46453,10:79844743-79851044,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"10q22.3q23.2 recurrent region (LCR 3-LCR 4) (Includes BMPR1A)",ISCA-37424,10:79923087-86979631,"3 (Sufficient Evidence)","1 (Little Evidence)",'-,'-,,,‐,‐,‐,10/13/2016
R,"11p11.2 (Potocki-Shaffer syndrome) region (includes ALX4, EXT2)",ISCA-37441,11:43873250-46130899,"3 (Sufficient Evidence)","0 (No Evidence)",'-,'-,,,‐,‐,‐,12/12/2013
R,"11p13 (WAGR syndrome) region",ISCA-37401,11:31781961-32489442,"3 (Sufficient Evidence)","1 (Little Evidence)",'-,'-,,,‐,‐,‐,05/24/2016
R,"11p14.1 population region (DGV_Gold_Standard_June_2021_gssvG6305)",ISCA-46659,11:28985603-28990540,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.1 population region (DGV_Gold_Standard_June_2021_gssvG6192)",ISCA-46658,11:18918658-18942110,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.1 population region (DGV_Gold_Standard_June_2021_gssvL17400)",ISCA-46651,11:18920312-18943051,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5919)",ISCA-46656,11:3218081-3339758,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5957)",ISCA-46657,11:4234735-4257233,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16732)",ISCA-46653,11:4242862-4288500,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16737)",ISCA-46654,11:4234219-4256896,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16784)",ISCA-46655,11:4947458-4959002,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16881)",ISCA-46649,11:5852754-5862269,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16961)",ISCA-46650,11:7788205-7813338,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116046)",ISCA-46454,11:4946516-4955428,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116124)",ISCA-46455,11:5852758-5862263,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"11p15.4 population region (gnomAD-SV_v2.1_DEL_11_116241)",ISCA-46456,11:7789628-7811831,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/10/2021
R,"11p15.5 population region (DGV_Gold_Standard_June_2021_gssvL16511)",ISCA-46652,11:1894015-1915772,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11q11 population region (DGV_Gold_Standard_June_2021_gssvL19042)",ISCA-46645,11:55678233-55690300,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11q11 population region (DGV_Gold_Standard_June_2021_gssvL19045)",ISCA-46646,11:55666777-55676508,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11q11 population region (gnomAD-SV_v2.1_DEL_11_119505)",ISCA-46457,11:55264126-55271064,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"11q11 population region (gnomAD-SV_v2.1_DEL_11_119564)",ISCA-46458,11:55596799-55676539,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"11q12.2 population region (DGV_Gold_Standard_June_2021_gssvG6800)",ISCA-46660,11:61198674-61252927,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/04/2021
R,"11q13.2q13.4 recurrent region (includes SHANK2, FGFs)",ISCA-37498,11:67996175-71525885,"2 (Emerging Evidence)","0 (No Evidence)",'-,'-,,,‐,‐,‐,09/27/2022
R,"11q13.4 population region (DGV_Gold_Standard_June_2021_gssvL19865)",ISCA-46647,11:72139602-72178286,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"11q14.3 population region (gnomAD-SV_v2.1_DEL_11_121860)",ISCA-46460,11:90029831-90050232,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/09/2021
R,"11q14.3 population region (gnomAD-SV_v2.1_DUP_11_33042)",ISCA-46459,11:89786909-89923863,"0 (No Evidence)","40 (Dosage Sensitivity Unlikely)",'-,'-,,,‐,‐,‐,08/09/2021
R,"11q22.2 population region (DGV_Gold_Standard_June_2021_gssvL21098)",ISCA-46648,11:102880376-102882132,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/05/2021
R,"12p11.1 population region (DGV_Gold_Standard_June_2021_gssvL24290)",ISCA-46665,12:34202958-34208608,"40 (Dosage Sensitivity Unlikely)","0 (No Evidence)",'-,'-,,,‐,‐,‐,08/04/2021
